,index,dt,AverageTemperature,AverageTemperatureUncertainty,day,month,year
219,555099,1786-12-01,,,1,12,1786
220,555100,1787-01-01,,,1,1,1787
221,555101,1787-02-01,,,1,2,1787
222,555102,1787-03-01,,,1,3,1787
223,555103,1787-04-01,,,1,4,1787
224,555104,1787-05-01,,,1,5,1787
225,555105,1787-06-01,,,1,6,1787
226,555106,1787-07-01,,,1,7,1787
227,555107,1787-08-01,,,1,8,1787
228,555108,1787-09-01,,,1,9,1787
229,555109,1787-10-01,,,1,10,1787
230,555110,1787-11-01,,,1,11,1787
231,555111,1787-12-01,,,1,12,1787
232,555112,1788-01-01,,,1,1,1788
233,555113,1788-02-01,,,1,2,1788
234,555114,1788-03-01,,,1,3,1788
235,555115,1788-04-01,,,1,4,1788
236,555116,1788-05-01,,,1,5,1788
237,555117,1788-06-01,,,1,6,1788
238,555118,1788-07-01,,,1,7,1788
239,555119,1788-08-01,,,1,8,1788
240,555120,1788-09-01,,,1,9,1788
241,555121,1788-10-01,,,1,10,1788
242,555122,1788-11-01,,,1,11,1788
243,555123,1788-12-01,,,1,12,1788
244,555124,1789-01-01,,,1,1,1789
245,555125,1789-02-01,,,1,2,1789
246,555126,1789-03-01,,,1,3,1789
247,555127,1789-04-01,,,1,4,1789
248,555128,1789-05-01,,,1,5,1789
249,555129,1789-06-01,,,1,6,1789
250,555130,1789-07-01,,,1,7,1789
251,555131,1789-08-01,,,1,8,1789
252,555132,1789-09-01,,,1,9,1789
253,555133,1789-10-01,,,1,10,1789
254,555134,1789-11-01,,,1,11,1789
255,555135,1789-12-01,,,1,12,1789
256,555136,1790-01-01,,,1,1,1790
257,555137,1790-02-01,,,1,2,1790
258,555138,1790-03-01,,,1,3,1790
259,555139,1790-04-01,,,1,4,1790
260,555140,1790-05-01,,,1,5,1790
261,555141,1790-06-01,,,1,6,1790
262,555142,1790-07-01,,,1,7,1790
263,555143,1790-08-01,,,1,8,1790
264,555144,1790-09-01,,,1,9,1790
265,555145,1790-10-01,,,1,10,1790
266,555146,1790-11-01,,,1,11,1790
267,555147,1790-12-01,,,1,12,1790
268,555148,1791-01-01,,,1,1,1791
269,555149,1791-02-01,,,1,2,1791
270,555150,1791-03-01,,,1,3,1791
271,555151,1791-04-01,,,1,4,1791
272,555152,1791-05-01,,,1,5,1791
273,555153,1791-06-01,,,1,6,1791
274,555154,1791-07-01,,,1,7,1791
275,555155,1791-08-01,,,1,8,1791
276,555156,1791-09-01,,,1,9,1791
277,555157,1791-10-01,,,1,10,1791
278,555158,1791-11-01,,,1,11,1791
279,555159,1791-12-01,,,1,12,1791
280,555160,1792-01-01,,,1,1,1792
281,555161,1792-02-01,,,1,2,1792
282,555162,1792-03-01,,,1,3,1792
283,555163,1792-04-01,,,1,4,1792
284,555164,1792-05-01,,,1,5,1792
285,555165,1792-06-01,,,1,6,1792
286,555166,1792-07-01,,,1,7,1792
287,555167,1792-08-01,,,1,8,1792
288,555168,1792-09-01,,,1,9,1792
289,555169,1792-10-01,,,1,10,1792
290,555170,1792-11-01,,,1,11,1792
291,555171,1792-12-01,,,1,12,1792
292,555172,1793-01-01,,,1,1,1793
293,555173,1793-02-01,,,1,2,1793
294,555174,1793-03-01,,,1,3,1793
295,555175,1793-04-01,,,1,4,1793
296,555176,1793-05-01,,,1,5,1793
297,555177,1793-06-01,,,1,6,1793
298,555178,1793-07-01,,,1,7,1793
299,555179,1793-08-01,,,1,8,1793
300,555180,1793-09-01,,,1,9,1793
301,555181,1793-10-01,,,1,10,1793
302,555182,1793-11-01,,,1,11,1793
303,555183,1793-12-01,,,1,12,1793
304,555184,1794-01-01,,,1,1,1794
305,555185,1794-02-01,,,1,2,1794
306,555186,1794-03-01,,,1,3,1794
307,555187,1794-04-01,,,1,4,1794
308,555188,1794-05-01,,,1,5,1794
309,555189,1794-06-01,,,1,6,1794
310,555190,1794-07-01,,,1,7,1794
311,555191,1794-08-01,,,1,8,1794
312,555192,1794-09-01,,,1,9,1794
313,555193,1794-10-01,,,1,10,1794
314,555194,1794-11-01,,,1,11,1794
315,555195,1794-12-01,,,1,12,1794
316,555196,1795-01-01,,,1,1,1795
317,555197,1795-02-01,,,1,2,1795
318,555198,1795-03-01,,,1,3,1795
319,555199,1795-04-01,,,1,4,1795
320,555200,1795-05-01,,,1,5,1795
321,555201,1795-06-01,,,1,6,1795
322,555202,1795-07-01,,,1,7,1795
323,555203,1795-08-01,,,1,8,1795
324,555204,1795-09-01,,,1,9,1795
325,555205,1795-10-01,,,1,10,1795
326,555206,1795-11-01,,,1,11,1795
327,555207,1795-12-01,,,1,12,1795
328,555208,1796-01-01,,,1,1,1796
329,555209,1796-02-01,,,1,2,1796
330,555210,1796-03-01,,,1,3,1796
331,555211,1796-04-01,,,1,4,1796
332,555212,1796-05-01,,,1,5,1796
333,555213,1796-06-01,19.877,2.945,1,6,1796
334,555214,1796-07-01,21.441,2.458,1,7,1796
335,555215,1796-08-01,21.54,3.11,1,8,1796
336,555216,1796-09-01,16.315,3.159,1,9,1796
337,555217,1796-10-01,9.388,2.2030000000000003,1,10,1796
338,555218,1796-11-01,2.317,2.845,1,11,1796
339,555219,1796-12-01,-5.261,4.1,1,12,1796
340,555220,1797-01-01,-1.7630000000000003,5.3370000000000015,1,1,1797
341,555221,1797-02-01,0.4489999999999998,3.008,1,2,1797
342,555222,1797-03-01,1.266,2.5,1,3,1797
343,555223,1797-04-01,6.311,2.6,1,4,1797
344,555224,1797-05-01,12.630999999999998,2.588,1,5,1797
345,555225,1797-06-01,19.247,2.0980000000000003,1,6,1797
346,555226,1797-07-01,,,1,7,1797
347,555227,1797-08-01,,,1,8,1797
348,555228,1797-09-01,,,1,9,1797
349,555229,1797-10-01,,,1,10,1797
350,555230,1797-11-01,,,1,11,1797
351,555231,1797-12-01,,,1,12,1797
352,555232,1798-01-01,,,1,1,1798
353,555233,1798-02-01,,,1,2,1798
354,555234,1798-03-01,,,1,3,1798
355,555235,1798-04-01,,,1,4,1798
356,555236,1798-05-01,,,1,5,1798
357,555237,1798-06-01,,,1,6,1798
358,555238,1798-07-01,,,1,7,1798
359,555239,1798-08-01,,,1,8,1798
360,555240,1798-09-01,,,1,9,1798
361,555241,1798-10-01,,,1,10,1798
362,555242,1798-11-01,,,1,11,1798
363,555243,1798-12-01,,,1,12,1798
364,555244,1799-01-01,,,1,1,1799
365,555245,1799-02-01,,,1,2,1799
366,555246,1799-03-01,,,1,3,1799
367,555247,1799-04-01,,,1,4,1799
368,555248,1799-05-01,,,1,5,1799
369,555249,1799-06-01,,,1,6,1799
370,555250,1799-07-01,,,1,7,1799
371,555251,1799-08-01,,,1,8,1799
372,555252,1799-09-01,,,1,9,1799
373,555253,1799-10-01,,,1,10,1799
374,555254,1799-11-01,,,1,11,1799
375,555255,1799-12-01,,,1,12,1799
376,555256,1800-01-01,,,1,1,1800
377,555257,1800-02-01,,,1,2,1800
378,555258,1800-03-01,,,1,3,1800
379,555259,1800-04-01,,,1,4,1800
380,555260,1800-05-01,,,1,5,1800
381,555261,1800-06-01,,,1,6,1800
382,555262,1800-07-01,,,1,7,1800
383,555263,1800-08-01,,,1,8,1800
384,555264,1800-09-01,,,1,9,1800
